Fecha UTC,Hora UTC,Clase de Vuelo (todos los vuelos),Clasificación Vuelo,Tipo de Movimiento,Aeropuerto,Origen / Destino,Aerolinea Nombre,Aeronave,Pasajeros,PAX,Calidad dato
01/01/2023,05:31,Regular,Internacional,Despegue,EZE,SKBO,AVIANCA AEROVIAS NACIONALES COLOMBIA,0,234,234,DEFINITIVO
01/01/2023,05:45,Regular,Internacional,Despegue,EZE,SBGR,LATAM AIRLINES BRASIL (exTAM LA SA),0,198,198,DEFINITIVO
01/01/2023,05:49,Regular,Internacional,Aterrizaje,EZE,SPJC,LAN PERU,0,150,150,DEFINITIVO
01/01/2023,05:53,Regular,Internacional,Aterrizaje,EZE,SBSG,GOL LINHAS AÉREAS S.A.,0,3,3,DEFINITIVO
01/01/2023,05:56,Regular,Internacional,Despegue,EZE,SBFL,GOL LINHAS AÉREAS S.A.,0,94,94,DEFINITIVO
01/01/2023,06:16,Regular,Internacional,Despegue,EZE,SLVR,BOLIVIANA DE AVIACION,0,167,167,DEFINITIVO
01/01/2023,06:24,Regular,Internacional,Aterrizaje,EZE,SKBO,FAST COLOMBIA S.A.S,0,62,62,DEFINITIVO
01/01/2023,06:31,Regular,Internacional,Aterrizaje,EZE,LEMD,AEROLINEAS ARGENTINAS SA,AIB-A330-202,167,167,DEFINITIVO
01/01/2023,06:35,Regular,Internacional,Aterrizaje,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,54,54,DEFINITIVO
01/01/2023,06:51,Regular,Internacional,Despegue,EZE,SBSG,GOL LINHAS AÉREAS S.A.,0,11,11,DEFINITIVO
01/01/2023,07:04,Regular,Internacional,Despegue,EZE,SPJC,LAN PERU,0,34,34,DEFINITIVO
01/01/2023,07:20,Regular,Internacional,Aterrizaje,AER,SPJC,AEROLINEAS ARGENTINAS SA,BO-737-81D,42,42,DEFINITIVO
01/01/2023,07:22,Regular,Doméstico,Despegue,AER,ECA,AEROLINEAS ARGENTINAS SA,BO-B737-86J,162,81,DEFINITIVO
01/01/2023,07:38,Regular,Internacional,Aterrizaje,EZE,SEQM,LINEAS AEREAS COSTARICENSES,0,145,145,DEFINITIVO
01/01/2023,07:43,Regular,Internacional,Aterrizaje,EZE,SKRG,FAST COLOMBIA S.A.S,0,145,145,DEFINITIVO
01/01/2023,07:51,Regular,Internacional,Aterrizaje,EZE,SPJC,JETSMART AIRLINES S.A.,AIB-A320-232,135,135,DEFINITIVO
01/01/2023,07:57,Regular,Internacional,Aterrizaje,AER,SBSV,AEROLINEAS ARGENTINAS SA,BO-737-8,37,37,DEFINITIVO
01/01/2023,08:00,Regular,Doméstico,Despegue,AER,DOZ,JETSMART AIRLINES S.A.,AIB-A320-232,115,58,DEFINITIVO
01/01/2023,08:07,Regular,Internacional,Despegue,EZE,SKRG,FAST COLOMBIA S.A.S,0,146,146,DEFINITIVO
01/01/2023,08:14,Regular,Internacional,Despegue,EZE,MPTO,AERO REPUBLICA,0,156,156,DEFINITIVO
01/01/2023,08:19,Regular,Doméstico,Despegue,EZE,SAL,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8U3,189,95,DEFINITIVO
01/01/2023,08:22,Regular,Internacional,Despegue,EZE,SCEL,LATAM AIRLINES GROUP S.A.(exLAN AIRLINE),0,144,144,DEFINITIVO
01/01/2023,08:25,Regular,Internacional,Despegue,EZE,SPJC,SKY AIRLINE S.A.,0,165,165,DEFINITIVO
01/01/2023,08:26,Regular,Doméstico,Despegue,AER,JUJ,JETSMART AIRLINES S.A.,AIB-A320-232,179,90,DEFINITIVO
01/01/2023,08:27,Regular,Internacional,Aterrizaje,EZE,SKBO,AVIANCA AEROVIAS NACIONALES COLOMBIA,0,136,136,DEFINITIVO
01/01/2023,08:37,Regular,Doméstico,Despegue,AER,DOZ,AEROLINEAS ARGENTINAS SA,BO-737-800,64,32,DEFINITIVO
01/01/2023,08:37,Regular,Doméstico,Despegue,EZE,BAR,JETSMART AIRLINES S.A.,AIB-A320-232,171,86,DEFINITIVO
01/01/2023,08:40,No Regular,Internacional,Despegue,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,175,175,DEFINITIVO
01/01/2023,08:43,Regular,Internacional,Aterrizaje,EZE,SPJC,LAN ECUADOR,0,47,47,DEFINITIVO
01/01/2023,08:45,Regular,Internacional,Aterrizaje,CBA,SPJC,LAN PERU,0,25,25,DEFINITIVO
01/01/2023,09:02,Regular,Doméstico,Despegue,EZE,IGU,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,92,46,DEFINITIVO
01/01/2023,09:03,Regular,Internacional,Aterrizaje,EZE,MPTO,COMPAÑIA PANAMEÑA DE AVIACION,0,92,92,DEFINITIVO
01/01/2023,09:04,Regular,Doméstico,Despegue,AER,CBA,JETSMART AIRLINES S.A.,AIB-A320-232,96,48,DEFINITIVO
01/01/2023,09:06,Regular,Doméstico,Despegue,AER,ECA,AEROLINEAS ARGENTINAS SA,BO-B737-8MB,172,86,DEFINITIVO
01/01/2023,09:08,Regular,Internacional,Despegue,EZE,SKBO,FAST COLOMBIA S.A.S,0,140,140,DEFINITIVO
01/01/2023,09:13,Regular,Internacional,Despegue,EZE,SEQM,LINEAS AEREAS COSTARICENSES,0,140,140,DEFINITIVO
01/01/2023,09:14,Regular,Doméstico,Despegue,AER,DRY,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8Q8,177,89,DEFINITIVO
01/01/2023,09:16,Regular,Doméstico,Despegue,EZE,ECA,JETSMART AIRLINES S.A.,AIB-A320-232,174,87,DEFINITIVO
01/01/2023,09:27,Regular,Doméstico,Despegue,EZE,BAR,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86N,190,95,DEFINITIVO
01/01/2023,09:28,Regular,Doméstico,Despegue,AER,BAR,AEROLINEAS ARGENTINAS SA,BO-B737-8,165,83,DEFINITIVO
01/01/2023,09:31,Regular,Internacional,Aterrizaje,DOZ,SPJC,LAN PERU,0,45,45,DEFINITIVO
01/01/2023,09:33,Regular,Internacional,Despegue,EZE,SBGL,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-8AL,190,190,DEFINITIVO
01/01/2023,09:36,Regular,Doméstico,Aterrizaje,DOZ,AER,JETSMART AIRLINES S.A.,AIB-A320-232,115,58,DEFINITIVO
01/01/2023,09:37,Regular,Doméstico,Despegue,EZE,CRV,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,29,15,DEFINITIVO
01/01/2023,09:40,Regular,Doméstico,Despegue,AER,CRV,JETSMART AIRLINES S.A.,AIB-A320-232,0,0,DEFINITIVO
01/01/2023,09:46,Regular,Internacional,Aterrizaje,AER,SKBO,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,35,35,DEFINITIVO
01/01/2023,09:47,Vuelo Privado con Matrícula Nacional,Internacional,Despegue,FDO,SULS,0,I.A-1124,0,0,DEFINITIVO
